Symbol,OHLC Code,Type,Link
FXFWD-2309-HJ1I7MFK,EUR/USD 12/19/2023 Curncy,FXFWD,<a href='https://ucapbh.decafhub.com/resource/details/30357'>30357</a>
FXFWD-2309-JWG4WNNJ,USD/CHF 12/19/2023 Curncy,FXFWD,<a href='https://ucapbh.decafhub.com/resource/details/30393'>30393</a>
FXFWD-2309-KJ5KW6KB,EUR/USD 12/19/2023 Curncy,FXFWD,<a href='https://ucapbh.decafhub.com/resource/details/30394'>30394</a>
FXFWD-2309-QMD67CO4,USD/CHF 09/26/2023 Curncy,FXFWD,<a href='https://ucapbh.decafhub.com/resource/details/30395'>30395</a>
FXFWD-2309-XYVYW4TC,EUR/USD 12/19/2023 Curncy,FXFWD,<a href='https://ucapbh.decafhub.com/resource/details/30396'>30396</a>
FXFWD-2309-YNOQTME7,USD/CHF 09/26/2023 Curncy,FXFWD,<a href='https://ucapbh.decafhub.com/resource/details/30397'>30397</a>
GL1 FP Equity,GLE FP Equity,SHRE,<a href='https://ucapbh.decafhub.com/resource/details/20999'>20999</a>
JPM Equity,JPM US Equity,SHRE,<a href='https://ucapbh.decafhub.com/resource/details/12617'>12617</a>
KYG5478A1691',xx,SHRE,<a href='https://ucapbh.decafhub.com/resource/details/21375'>21375</a>
NQU2 Index,NQM2 Index,FUT,<a href='https://ucapbh.decafhub.com/resource/details/21951'>21951</a>
Physical Gold 1KG,XAUUSD Curncy,COMM,<a href='https://ucapbh.decafhub.com/resource/details/29031'>29031</a>
Physical Gold 500GR,XAUUSD Curncy,COMM,<a href='https://ucapbh.decafhub.com/resource/details/29032'>29032</a>
SXOH1 Index,SXOH0 Index,FUT,<a href='https://ucapbh.decafhub.com/resource/details/14342'>14342</a>
TEVA 02/19/21 C12 US Equity,TEVA US 02/19/21 C12 Equity,OPT,<a href='https://ucapbh.decafhub.com/resource/details/14609'>14609</a>
TTE Equity,TTE FP Equity,SHRE,<a href='https://ucapbh.decafhub.com/resource/details/8744'>8744</a>
UBSE GR Equity,UBSG SW Equity,SHRE,<a href='https://ucapbh.decafhub.com/resource/details/10500'>10500</a>
US06160EUA80 Corp,BYPASSOHLC,CMPO,<a href='https://ucapbh.decafhub.com/resource/details/16890'>16890</a>
US16706CRL27 Corp,BYPASSOHLC,CMPO,<a href='https://ucapbh.decafhub.com/resource/details/16666'>16666</a>
US82487BGC37 Corp,BYPASSOHLC,CMPO,<a href='https://ucapbh.decafhub.com/resource/details/16970'>16970</a>
US912796P864 Corp,123,BOND,<a href='https://ucapbh.decafhub.com/resource/details/18535'>18535</a>
VGAC 02/19/21 C12.5 US Equity,VGAC US 02/19/21 C12.5 Equity,OPT,<a href='https://ucapbh.decafhub.com/resource/details/14608'>14608</a>
XID-8393028,~DEBSM.XID.artifact.8393028.USD,OTHER,<a href='https://ucapbh.decafhub.com/resource/details/17928'>17928</a>
XID-8437992,~DEBSM.XID.artifact.8437992.USD,OTHER,<a href='https://ucapbh.decafhub.com/resource/details/18482'>18482</a>
XS1410000985@NXED Corp,XS1410000985,SP,<a href='https://ucapbh.decafhub.com/resource/details/15289'>15289</a>
XS2010032618 Corp,xxx,BOND,<a href='https://ucapbh.decafhub.com/resource/details/20915'>20915</a>
XS2337348291,BYPASSOHLC,CMPO,<a href='https://ucapbh.decafhub.com/resource/details/16932'>16932</a>
XS2340901516,BYPASSOHLC,CMPO,<a href='https://ucapbh.decafhub.com/resource/details/16912'>16912</a>
XS2341204415,BYPASSOHLC,CMPO,<a href='https://ucapbh.decafhub.com/resource/details/16920'>16920</a>
XS2342978306,BYPASSOHLC,CMPO,<a href='https://ucapbh.decafhub.com/resource/details/16820'>16820</a>
XS2344465849,BYPASSOHLC,CMPO,<a href='https://ucapbh.decafhub.com/resource/details/16798'>16798</a>
XS2344728873,BYPASSOHLC,CMPO,<a href='https://ucapbh.decafhub.com/resource/details/16806'>16806</a>
XS2348068581,BYPASSOHLC,CMPO,<a href='https://ucapbh.decafhub.com/resource/details/16840'>16840</a>
XS2349515135,BYPASSOHLC,CMPO,<a href='https://ucapbh.decafhub.com/resource/details/16856'>16856</a>
XS2350020199,BYPASSOHLC,CMPO,<a href='https://ucapbh.decafhub.com/resource/details/16858'>16858</a>
XS2350035114,BYPASSOHLC,CMPO,<a href='https://ucapbh.decafhub.com/resource/details/16862'>16862</a>
XS2351220574,BYPASSOHLC,CMPO,<a href='https://ucapbh.decafhub.com/resource/details/16867'>16867</a>
XS2356045828,BYPASSOHLC,CMPO,<a href='https://ucapbh.decafhub.com/resource/details/16980'>16980</a>
Z Z1 Index - SHORT,Z Z1 Index,FUT,<a href='https://ucapbh.decafhub.com/resource/details/17721'>17721</a>
